name,price,sku,description,part_no,brand,terrain_type,vehicle_type,drive_train,scale,image
Traxxas Slash VXL Blue,$435.99,20334585516,"Slash VXL is the latest model to be equipped with fully waterproof electronics to keep the fun rolling in water, mud and snow while lesser cars stay on the bench.",58076-4T1,Traxxas,Off-Road,Short Course,2WD,1/10,58076-4.jpg
Traxxas Slayer Pro 4x4 1/10 Nitro 4wd Blue,$719.99,20334593917,"Short-Course Action With Incredible Power, Authentic Handling, and Serious Speed!",59076-3BLUE,Traxxas,Off-Road,Short Course,4WD,1/10,59076-3blue.jpg
Traxxas Stampede 1/10 2wd XL-5 BlueX Rtr,$289.99,20334362810,"This is the Blue color schemed Traxxas Stampede XL-5 RTR 1/10 Scale Electric 2WD Monster Truck, with an included Traxxas TQ 2.4GHz Radio System, Waterproof XL-5 Electronic Speed Control, 8.4V 7-Cell Power Cell 3000mAh Battery Pack and Peak Detecting DC Charger. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",36054-1-BLUEX,Traxxas,Off-Road,Monster Truck,2WD,1/10,tra36054-1-bluex.jpg
Traxxas Stampede 1/10 2wd XL-5 Green DC Charger,$289.99,20334363015,Traxxas Stampede XL-5 Rock-Crushing Torque And Waterproof!,36054-1GREEN,Traxxas,Off-Road,Monster Truck,2WD,1/10,36054-1green.jpg
Traxxas Stampede 1/10 2wd XL-5 Orange DC Charger Rtr,$289.99,20334363114,"This is the Blue color schemed Traxxas Stampede XL-5 RTR 1/10 Scale Electric 2WD Monster Truck, with an included Traxxas TQ 2.4GHz Radio System, Waterproof XL-5 Electronic Speed Control, 8.4V 7-Cell Power Cell 3000mAh Battery Pack and Peak Detecting DC Charger. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",36054-1ORANGE,Traxxas,Off-Road,Monster Truck,2WD,1/10,tra36054-1orange.jpg
Traxxas Stampede 1/10 2wd XL-5 PinkX DC Charger,$289.99,20334363510,Traxxas Stampede XL-5 Rock-Crushing Torque And Waterproof!,36054-1PINKX,Traxxas,Off-Road,Monster Truck,2WD,1/10,tra36054-1pinkx.jpg
Traxxas Stampede 1/10 2wd XL-5 RedX DC Charger,$289.99,20334362711,Traxxas Stampede XL-5 Rock-Crushing Torque And Waterproof!,36054-1REDX,Traxxas,Off-Road,Monster Truck,2WD,1/10,tra36054-1redx.jpg
Traxxas Stampede 4x4 Brushed Blue,$435.99,20334670618,"This is the Traxxas Stampede 4X4 LCG RTR 1/10 Scale Monster Truck, with an included TQ 2.4GHz Radio System, 7-Cell 3000mAh NiMH Battery Pack, 4 AMP Peak Detecting DC Charger and silver  body. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",67054-1T2,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra67054-1-blue.jpg
Traxxas Stampede 4x4 Brushed Xl-5 Rtr Red,$435.99,20334670519,"This is the Traxxas Stampede 4X4 LCG RTR 1/10 Scale Monster Truck, with an included TQ 2.4GHz Radio System, 7-Cell 3000mAh NiMH Battery Pack, 4 AMP Peak Detecting DC Charger and red  body. Now featured with this kit are the updated Traxxas iD connectors now included as standard equipment.",67054-1T1,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra67054-1red.jpg
Traxxas Stampede 4x4 VXL Blue No Battery or Charger,$555.99,20334674319,"The Stampede 4X4 VXL is engineered like no other to turn extreme power into extreme monster truck fun! Traxxas Stability Management (TSM) lets you experience Stampede’s extreme power, speed, and acceleration by making it much easier to control on slippery surfaces such as loose dirt, smooth concrete, and even ice and snow.",67086-4,Traxxas,Off-Road,Monster Truck,4WD,1/10,s-l1600_1.jpg
Traxxas Stampede VXL 1/10 RTR 2WD Monster Truck Orange,$405.99,20334364418,The World's Most Extreme 2WD Monster Truck!,36076-4-ORANGE,Traxxas,Off-Road,Monster Truck,2WD,1/10,36076-4orange.jpg
Traxxas T-Maxx 3.3 4WD RTR Nitro Monster Truck White & Silver,$715.99,20334493019,4x4 monster truck fun starts with T-Maxx. When T-Maxx launched onto the scene a whole new world of R/C driving possibilities emerged. T-Maxx has become the world's best-selling Ready-To-Race nitro monster truck,49077-3WHITE,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra49077-3white.jpg
Traxxas T-maxx 3.3 Blue,$715.99,20334492739,4x4 monster truck fun starts with T-Maxx. When T-Maxx launched onto the scene a whole new world of R/C driving possibilities emerged. T-Maxx has become the world's best-selling Ready-To-Race nitro monster truck,49077-3,Traxxas,Off-Road,Monster Truck,4WD,1/10,blue_tmaxx.jpg
Traxxas T-maxx 3.3 Red,$715.99,20334492715,4x4 monster truck fun starts with T-Maxx. When T-Maxx launched onto the scene a whole new world of R/C driving possibilities emerged. T-Maxx has become the world's best-selling Ready-To-Race nitro monster truck,49077-3-Red,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra49077-3-red.jpg
Traxxas T-maxx 3.3 Rtr W/Tsm Black,$715.99,20334492913,4x4 monster truck fun starts with T-Maxx. When T-Maxx launched onto the scene a whole new world of R/C driving possibilities emerged. T-Maxx has become the world's best-selling Ready-To-Race nitro monster truck,49077-3BLACK,Traxxas,Off-Road,Monster Truck,4WD,1/10,49077-3black.jpg
Traxxas TRX4 1/10 Trail Crawler Truck w/ Mercedes-Benz G500 4X4² Body Black,$579.99,20334821812,"The Traxxas TRX-4 1/10 Trail Crawler Truck with Mercedes-Benz G 500 4X4² Body replicates the original Mercedes truck down to the smallest detail. Chrome exhaust pipes and grille, side molding, and precisely replicated LED-ready lenses capture the look of the full-size truck with replica 5-spoke wheels riding on portal axles. Available in either red, blue or metallic black, the G 500 4X4² is loaded with all the great TRX-4 features you've come to expect.",82096-4BLACK,Traxxas,On-Road,"Crawler,Scale Replica",4WD,1/10,82096-4black.jpg
Traxxas TRX4 1/10 Trail Crawler Truck w/ Mercedes-Benz G500 4X4² Body Blue,$579.99,20334822017,"The Traxxas TRX-4 1/10 Trail Crawler Truck with Mercedes-Benz G 500 4X4² Body replicates the original Mercedes truck down to the smallest detail. Chrome exhaust pipes and grille, side molding, and precisely replicated LED-ready lenses capture the look of the full-size truck with replica 5-spoke wheels riding on portal axles. Available in either red, blue or metallic black, the G 500 4X4² is loaded with all the great TRX-4 features you've come to expect.",82096-4BLUU,Traxxas,On-Road,"Crawler,Scale Replica",4WD,1/10,tra82096-4bluu.jpg
Traxxas TRX4 1/10 Trail Crawler Truck w/ Mercedes-Benz G500 4X4² Body Red,$579.99,20334821911,"The Traxxas TRX-4 1/10 Trail Crawler Truck with Mercedes-Benz G 500 4X4² Body replicates the original Mercedes truck down to the smallest detail. Chrome exhaust pipes and grille, side molding, and precisely replicated LED-ready lenses capture the look of the full-size truck with replica 5-spoke wheels riding on portal axles. Available in either red, blue or metallic black, the G 500 4X4² is loaded with all the great TRX-4 features you've come to expect.",82096-4REDU,Traxxas,On-Road,"Crawler,Scale Replica",4WD,1/10,tra82096-4redu.jpg
Traxxas Trx4 Bronco Red,$669.99,20334821119,"Originally introduced in 1966 as a 4x4 compact SUV, the Ford Bronco matured as a full-size truck in the late 1970s, cementing its status as a rugged off-roader. Traxxas honors the classic 1979 Ford Bronco with this beautifully detailed and faithful reproduction mounted on the incredibly capable TRX-4 chassis. From the chrome wheels and bumpers to the gorgeous Sunset or red graphics, the TRX-4 recaptures the Bronco’s iconic era with the toughness and technology that could only come from Traxxas.",82046-4RED,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,82046-4red.jpg
Traxxas Trx4 Bronco Sunset,$669.99,20334821010,"Originally introduced in 1966 as a 4x4 compact SUV, the Ford Bronco matured as a full-size truck in the late 1970s, cementing its status as a rugged off-roader. Traxxas honors the classic 1979 Ford Bronco with this beautifully detailed and faithful reproduction mounted on the incredibly capable TRX-4 chassis. From the chrome wheels and bumpers to the gorgeous Sunset or red graphics, the TRX-4 recaptures the Bronco’s iconic era with the toughness and technology that could only come from Traxxas.",82046-4SUN,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,bronco-action-02.jpg
Traxxas Trx4 Kit,$539.99,20334820136,"The Traxxas TRX-4 Scale and Trail Crawler chassis kit offers the same innovative features as the RTR vehicle, combined with the fun and excitement of building your own kit. Build your own portal axles, high/low range transmission, and remotely locking differentials. All the parts are organized neatly in labeled bags with waterproof electronics and pre-assembled shocks and suspension links. A fully illustrated color manual makes the kit as much fun to construct as it is to take off-road.",82016-4,Traxxas,Off-Road,Crawler,4WD,1/10,82016-4-trx4-unassembledkit-3qtr-img_1592_m.jpg
Traxxas Trx4 Land Rover Defender Blue,$669.99,20334822611,"The Traxxas TRX-4 Scale and Trail Crawler is a ground breaking product that could only come from Traxxas. With a feature set that includes parts that you would expect to buy separately, the TRX-4 delivers versatility and capability in a fully ready to run package. The TRX-4 is built for crawling the Traxxas way - rugged, powerful, and ready for fun!",82056-4BLUE,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,82056-4blue.jpg
Traxxas Trx4 Land Rover Defender Grey,$669.99,20334820617,"The Traxxas TRX-4 Scale and Trail Crawler is a ground breaking product that could only come from Traxxas. With a feature set that includes parts that you would expect to buy separately, the TRX-4 delivers versatility and capability in a fully ready to run package. The TRX-4 is built for crawling the Traxxas way - rugged, powerful, and ready for fun!",82056-4,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,tra-rover-grey.jpg
Traxxas Trx4 Land Rover Defender Red,$669.99,20334820518,"The Traxxas TRX-4 Scale and Trail Crawler is a ground breaking product that could only come from Traxxas. With a feature set that includes parts that you would expect to buy separately, the TRX-4 delivers versatility and capability in a fully ready to run package. The TRX-4 is built for crawling the Traxxas way - rugged, powerful, and ready for fun!",82056-4,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,tra82056-4-red-2.jpg
Traxxas TRX4 Scale Crawler K5 Blazer Orange,$715.99,20334821515,"The Traxxas TRX-4 Blazer honors the rich history of this renowned bowtie, with a beautifully detailed reproduction of the 1979 K5 Blazer built on the proven TRX-4 chassis. Introduced in 1969, the Chevrolet Blazer was General Motors’ two-door entry into the booming sport utility market. Its shorter wheelbase and capable suspension instantly made it a favorite in the 4X4 world, earning the love of enthusiasts and collectors. Outfitted with replica Rally wheels, a highly detailed chrome grill, and a full complement of scale details, the TRX-4 Blazer combines the iconic style of the Blazer with toughness and technology that could only come from Traxxas.",82076-4ORNG,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,tra82076-4-orng.jpg
Traxxas TRX4 Scale Crawler K5 Blazer Red,$715.99,20334821416,"The Traxxas TRX-4 Blazer honors the rich history of this renowned bowtie, with a beautifully detailed reproduction of the 1979 K5 Blazer built on the proven TRX-4 chassis. Introduced in 1969, the Chevrolet Blazer was General Motors’ two-door entry into the booming sport utility market. Its shorter wheelbase and capable suspension instantly made it a favorite in the 4X4 world, earning the love of enthusiasts and collectors. Outfitted with replica Rally wheels, a highly detailed chrome grill, and a full complement of scale details, the TRX-4 Blazer combines the iconic style of the Blazer with toughness and technology that could only come from Traxxas.",82076-4RED,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,tra82076-4-red.jpg
Traxxas TRX4 Scale Trail Rock Crawler Blue w/Deep Terrain Traxx & Tires,$749.99,20334822314,"Traxxas TRX-4 with Deep-Terrain Traxx and 4 Tires and Wheels: 1/10 Scale 4WD Electric Truck. Blue. Ready-to-Race with TQ 2.4GHz Radio System, XL-5 HV ESC (fwd/rev) and Titan 550 motor and Painted Body (Requires battery and charger)",82034-4BLUE,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,tra82034-4-blue.jpg
Traxxas TRX4 Scale Trail Rock Crawler Orange w/Deep Terrain Traxx & Tires,$749.99,20334822413,"Traxxas TRX-4 with Deep-Terrain Traxx and 4 Tires and Wheels: 1/10 Scale 4WD Electric Truck. Blue. Ready-to-Race with TQ 2.4GHz Radio System, XL-5 HV ESC (fwd/rev) and Titan 550 motor and Painted Body (Requires battery and charger)",82034-4ORANGE,Traxxas,Off-Road,"Crawler,Scale Replica",4WD,1/10,tra82034-4orange_1.jpg
Traxxas TRX4 Sport 1/10 Scale Trail Rock Crawler Assembly Kit,$405.99,20334820037,"The Traxxas TRX-4 Sport 1/10 Scale Trail Rock Crawler Assembly Kit combines all the technical capability of a TRX-4, with the flexibility to build it your way, for your terrain and off-road mission. The kit includes everything you need to assemble a complete roller, but allows you to choose your preferred electronics. This is the perfect kit for enthusiasts who want to customize the vehicle with their own choice of electronics. It also includes  highly detailed scale accessories that are sure to win points. Traxxas makes assembly easy with a full-color assembly guide with step by step instructions.",82010-4,Traxxas,Off-Road,Monster Truck,4WD,1/10,tra82010-4.jpg
Traxxas Trx4 Sport Blue Rtr,$495.99,20334821218,"The TRX-4 Sport combines the unbeatable ground clearance and driving dynamics of Traxxas portal axles, sticky Canyon Trail tires, and a lightweight pickup truck body for a leaner, performance-focused new TRX-4. The Sport’s unique bumpers, wheels, and body were designed for increased climbing versatility. Whether it’s a fun trail run or a hardcore technical crawl, the TRX-4 Sport’s capability and performance-built approach takes your outdoor adventure to a new level.",82024-4-Blue,Traxxas,Off-Road,Crawler,4WD,1/10,tra82024-4-blue-2.jpg
Traxxas Trx4 Sport Tan Rtr,$498.99,20334822512,"The TRX-4 Sport combines the unbeatable ground clearance and driving dynamics of Traxxas portal axles, sticky Canyon Trail tires, and a lightweight pickup truck body for a leaner, performance-focused new TRX-4. The Sport’s unique bumpers, wheels, and body were designed for increased climbing versatility. Whether it’s a fun trail run or a hardcore technical crawl, the TRX-4 Sport’s capability and performance-built approach takes your outdoor adventure to a new level.",82024-4-Tan,Traxxas,Off-Road,Crawler,4WD,1/10,82024-4tan.jpg
Traxxas Unlimited Desert Racer Blue W/ light kit,"$1,059.99",20334851116,"The Traxxas Unlimited Desert Racer Race Truck is engineered on an authentic, true to scale 4-wheel drive desert race truck chassis. The 4-link solid rear axle design provides huge suspension travel with authentic driving dynamics. From the cantilever sway bars to the 8 GTR shocks, Traxxas has accurately reproduced a true unlimited desert race chassis in both form and function.",85086-4TRX,Traxxas,Off-Road,Short Course,4WD,1/8,85086-4trx.jpg
Traxxas Unlimited Desert Racer Fox W/ light kit,"$1,059.99",20334851017,"The Traxxas Unlimited Desert Racer Race Truck is engineered on an authentic, true to scale 4-wheel drive desert race truck chassis. The 4-link solid rear axle design provides huge suspension travel with authentic driving dynamics. From the cantilever sway bars to the 8 GTR shocks, Traxxas has accurately reproduced a true unlimited desert race chassis in both form and function.",85086-4FOX,Traxxas,Off-Road,Short Course,4WD,1/8,85086-4fox.jpg
Traxxas XMaxx Green X,"$1,305.99",770864693328,"The Traxxas X-Maxx 8S 4WD Brushless RTR Monster Truck brings the same unrelenting 4X4 power, mammoth size and award-winning innovation to the game that make X-Maxx the ultimate monster truck. When you add 30+ volts of extreme 8s power, X-Maxx 8S defies physics, unleashing jaw-dropping acceleration and 50+mph speeds. Engineered to conquer the most extreme terrain and take brutal real-world punishment in stride, X-Maxx is the definition of Traxxas Tough. Now in new ornage limited edition body.",77086-4GREENX,Traxxas,Off-Road,Monster Truck,4WD,1/6,77086-4greenx.jpg
Traxxas XMaxx Orange Limited Edition,"$1,305.99",20334775412,"The Traxxas X-Maxx 8S 4WD Brushless RTR Monster Truck brings the same unrelenting 4X4 power, mammoth size and award-winning innovation to the game that make X-Maxx the ultimate monster truck. When you add 30+ volts of extreme 8s power, X-Maxx 8S defies physics, unleashing jaw-dropping acceleration and 50+mph speeds. Engineered to conquer the most extreme terrain and take brutal real-world punishment in stride, X-Maxx is the definition of Traxxas Tough. Now in new ornage limited edition body.",77086-4ORNGX,Traxxas,Off-Road,Monster Truck,4WD,1/6,x-maxx-8s-intro-orngx_m.jpg
Traxxas XMaxx Red X,"$1,305.99",20334775610,"The Traxxas X-Maxx 8S 4WD Brushless RTR Monster Truck brings the same unrelenting 4X4 power, mammoth size and award-winning innovation to the game that make X-Maxx the ultimate monster truck. When you add 30+ volts of extreme 8s power, X-Maxx 8S defies physics, unleashing jaw-dropping acceleration and 50+mph speeds. Engineered to conquer the most extreme terrain and take brutal real-world punishment in stride, X-Maxx is the definition of Traxxas Tough. Now in new ornage limited edition body.",77086-4REDX,Traxxas,Off-Road,Monster Truck,4WD,1/6,77086-4redx.jpg
Traxxas XMaxx Rock & Roll,"$1,305.99",20334775313,"The Traxxas X-Maxx 8S 4WD Brushless RTR Monster Truck brings the same unrelenting 4X4 power, mammoth size and award-winning innovation to the game that make X-Maxx the ultimate monster truck. When you add 30+ volts of extreme 8s power, X-Maxx 8S defies physics, unleashing jaw-dropping acceleration and 50+mph speeds. Engineered to conquer the most extreme terrain and take brutal real-world punishment in stride, X-Maxx is the definition of Traxxas Tough.",77086-4RNR,Traxxas,Off-Road,Monster Truck,4WD,1/6,tra77086-4rnr.jpg
Traxxas Slash 4x4 VXL Ultimate Mark Jenkins w/OBA,$787.48,794680772403,"This is the Traxxas Slash 4X4 ""Ultimate"" 1/10 Scale 4WD Short Course Truck, with an included TQi 2.4GHz Radio System with Traxxas Link Wireless Module, installed Telemetry and TSM (Traxxas Stability Management) technology. Plus, with the addition of Traxxas On-Board Audio, you get the full short course experience - the powerful and loud sound of a 900 horsepower engine ripping through the gears.",68077-24D3,Traxxas,Off-Road,Short Course,4WD,1/10,maxresdefault_1_1.jpg
Traxxas Slash 4x4 VXL Ultimate Tsm W/ OBA,$787.48,794680772401,"This is the Traxxas Slash 4X4 ""Ultimate"" 1/10 Scale 4WD Short Course Truck, with an included TQi 2.4GHz Radio System with Traxxas Link Wireless Module, installed Telemetry and TSM (Traxxas Stability Management) technology. Plus, with the addition of Traxxas On-Board Audio, you get the full short course experience - the powerful and loud sound of a 900 horsepower engine ripping through the gears.",68077-24D1,Traxxas,Off-Road,Short Course,4WD,1/10,tra68077-24-blue.jpg
